title,currency,sold_price,sold_date
New listingLEGO Speed Champions Chevrolet Corvette C8.R Race Car and 1968 Chevrolet...,£,19.99,9 Sep 2022
LEGO JURASSIC WORLD – KEN WHEATLEY JW025 – 75928 75930 – BRAND NEW,£,9.95,9 Sep 2022
Lego 75292 Star Wars The Mandalorian Bounty Hunter Transport Razor Crest MINT,£,94.0,9 Sep 2022
LEGO® Collection x Target Lego Santa Plush Brand New,£,6.09,9 Sep 2022
New listingLEGO 76208 Marvel: Thor Love And Thunder - The Goat Boat. Brand New Sealed ✔️,£,36.99,9 Sep 2022
Lego City 30346 Prison Island  Helicopter  New And Sealed,£,2.7,9 Sep 2022
Lego 40254 Nutcracker Limited Edition ,£,22.0,9 Sep 2022
"LEGO Harry Potter: Harry's Journey to Hogwarts (30407) - NEW, UNOPENED",£,4.34,9 Sep 2022
"LEGO Duplo Creative Construction Basket, 10820. 110 Pieces. Brand New",£,85.0,9 Sep 2022
LEGO DC Universe Super Heroes Arctic Batman vs. Mr Freeze Aquaman on Ice (76000),£,36.95,9 Sep 2022
LEGO ARCHITECTURE: Las Vegas (21047),£,63.0,9 Sep 2022
Lego 40516 Everyone is Awesome,£,30.0,9 Sep 2022
"Lego ""I LOVE LEGO STORE LONDON"" 2x4 tile  - Brand New",£,9.95,9 Sep 2022
lego ninjago 9561 Kai Zx Spinner Rare And Hard To Find  new and sealed  ,£,17.0,9 Sep 2022
Lego Space Mars Mission Crystal Hawk (5619) NEW,£,20.66,9 Sep 2022
Lego 40262 Christmas Train Ride ,£,16.0,9 Sep 2022
LEGO 40531 Star Wars Lars Family Homestead Kitchen New in Box SEALED,£,34.81,9 Sep 2022
Lego Creator 31028 Sea Plane 2015 Retired Sealed Set Damage Box ,£,9.99,9 Sep 2022
LEGO 40525 Marvel Infinity Saga Avengers Endgame Battle Pack Brand New Free P&P,£,19.95,9 Sep 2022
LEGO MIXELS: Hoogi (41523),£,8.99,9 Sep 2022
Lego  D.C. Super Hero 30546 Girls Krypto Saves The Day Dog Poly Bag New,£,7.89,9 Sep 2022
Lego Top Gear 6031370 / Stig Keychain Keyring / BN & Genuine 2012 / Immaculate,£,10.0,9 Sep 2022
Lego 21319 Friends Central Perk,£,45.0,9 Sep 2022
lego 40263 Christmas Town Square ,£,16.0,9 Sep 2022
Lego 76165 MARVEL IRON MAN HELMET - BRAND NEW & SEALED - RETIRED,£,81.75,9 Sep 2022
"LEGO Children's Amusement Park 40529, New!",£,7.99,9 Sep 2022
LEGO Star Wars First Order General Set 5004406 Polybag Packaging BRAND NEW,£,5.78,9 Sep 2022
New listingLEGO 40515 Pirates and Treasure VIP Add On Pack - Brand New & Sealed,£,4.5,9 Sep 2022
"LEGO CITY PICK UP TOW TRUCK 60081 FEATURES 209 PIECES, NEW IN FSB",£,56.58,9 Sep 2022
LEGO Minecraft The Farm (21114) NEW SEALED SET RETIRED FREE POSTAGE RARE,£,58.95,9 Sep 2022
New listingLego Brickheadz Bride 40383,£,8.0,9 Sep 2022
LEGO Star Wars 75311 The Mandalorian Imperial Armored Marauder ,£,29.76,9 Sep 2022
New listingLEGO Back to the Future Delorean Time Machine 10300 BNIB,£,170.0,9 Sep 2022
LEGO Creator 31017 Sunset Speeder 3in1 119 pcs/pzs Brand New Sealed Set.,£,10.44,9 Sep 2022
Lego Flowers 40460 | ROSES | New SEALED Box Set BNSIB Valentines Anniversary,£,20.0,9 Sep 2022
LEGO 3x  Star Wars Y-Wing Limited Edition OVP Folienpack  NEU Ungeöffnet !!!,£,9.36,9 Sep 2022
Lego Bionicle Barraki Takadox - 8916,£,54.99,9 Sep 2022
New listingLego Ideas. 21331 Sonic the Hedgehog - Green Hill Zone Age 18+ New Sealed NISB,£,51.99,9 Sep 2022
LEGO Minecraft: The End Battle (21151),£,84.6,9 Sep 2022
LEGO 10258 Creator Expert London Bus  (New in Sealed Box),£,118.95,9 Sep 2022
LEGO 75178  Star Wars Jakku Quadjumper Retired Factory Sealed Damaged Box,£,52.22,9 Sep 2022
LEGO 40450 Amelia Earhart Tribute *NEW & SEALED* Birthday Christmas Collectors,£,15.87,9 Sep 2022
60261 LEGO CITY CENTRAL AIRPORT (NEW),£,39.99,9 Sep 2022
Lego 40525 Marvel Infinity Saga Thor Minifigure New,£,5.49,9 Sep 2022
NEW Star Wars 75284 Knights of Ren Transport Ship 595Pcs,£,67.88,9 Sep 2022
LEGO Star Wars Armored Assault Tank 75283 *No Ahsoka  or Clone 332nd,£,26.1,9 Sep 2022
Lego Clikits Set  - 7518 - Cool Room Catchers - Brand New - Designer Craft RARE,£,5.0,9 Sep 2022
LEGO Star Wars Mandalorian Battle Pack Building Set - 75267,£,15.0,9 Sep 2022
New listingLEGO Seasonal: Flower Display (40187),£,9.99,9 Sep 2022
LEGO 21108 Ideas Ghostbusters Ecto-1 free shipping,£,139.26,9 Sep 2022
Lego 1x Hose tuyau Flexible soft axle axe tige barre 12 noir/black 32200 NEUF,£,1.72,9 Sep 2022
Lego 30625 | Luke Skywalker Blue Milk Figure,£,50.0,9 Sep 2022
LEGO® CITY 60317 Banküberfall mit Verfolgungsjagd  NEU / OVP,£,65.53,9 Sep 2022
LEGO VIDIYO BANDMATES SERIES 1 43101 X18 Blind Packs Minifigures ,£,36.0,9 Sep 2022
New listingLEGO MINIFIGURES The Muppets (71033) Pack of 5 Unopened Sealed,£,9.99,9 Sep 2022
Lego Technic 42126 Ford F-150 Raptor Brand New Sealed *,£,79.0,9 Sep 2022
LEGO 40527 Easter Chicks 2022 BRAND NEW IN SEALED BOX,£,18.75,9 Sep 2022
Lego Minifigure DC - Two Face & Henchmen (x3) - from Set 6864 + twoface microfig,£,19.99,9 Sep 2022
title,currency,sold_price,sold_date
Lego Architecture Buckingham Palace London 21029 SEALED Set New in Box,£,86.17,9 Sep 2022
LEGO Jurassic World: T. rex & Atrociraptor Dinosaur Breakout 76948 No BOX NEW,£,49.99,9 Sep 2022
New listingLEGO The LEGO Batman Movie The Penguin Arctic Roller (70911). New and sealed,£,36.99,9 Sep 2022
New listingLego 40515 Pirates and Treasure VIP Add on Pack Brand New Sealed,£,6.0,9 Sep 2022
Lego Architecture Chicago 21033 SEALED Set New in Box,£,161.89,9 Sep 2022
LEGO Speed Champions Nissan GT-R NISMO 76896 Race Car Sports Skyline NEW R1,£,35.87,9 Sep 2022
71398 LEGO Super Mario Dorries Beachfront Expansion Set Building Toy for Ages 6+,£,22.49,9 Sep 2022
New listingLEGO Marvel Super Heroes: The Avengers Advent Calendar (76196),£,31.99,9 Sep 2022
New listingLego Super Mario Characters 71410 Series 5 complete Set Of 8 Brand New,£,44.99,9 Sep 2022
2 Sealed Lego 40515 Classic Pirate and Treasure VIP Add On Pack Lot of 2,£,9.57,9 Sep 2022
Lego BrickHeadz Tactical Batman & Superman Justice League 41610,£,52.22,9 Sep 2022
LEGO Star Wars - 75129 - Wookiee Gunship Microfighter - Brand New in Sealed Box,£,10.45,9 Sep 2022
Lego Master Builder Academy Set 20217 Action Designer & 20215 Invention Designer,£,99.99,9 Sep 2022
"LEGO Harry Potter: Fawkes, Dumbledore’s Phoenix (76394)",£,35.0,9 Sep 2022
Lego City 30360 Arctic Ice Saw (028),£,5.0,9 Sep 2022
Lego Disney Brickheadz Anna & Olaf 41618,£,21.75,9 Sep 2022
LEGO Portachiavi in metallo 90 ANNI DI GIOCO esclusiva NUOVO #Back2eBay,£,27.04,9 Sep 2022
Lego Reindeer From 10275 Elf Club House animal Christmas winter village santas ,£,9.66,9 Sep 2022
New listingLego Super Mario - Waddlewing - 71410 Series 5,£,6.99,9 Sep 2022
LEGO SUPER MARIO MAGIKOOPA SERIES 5 71410 SUPERMARIO CHARACTER PACK,£,7.49,9 Sep 2022
LEGO Looney Tunes MINIFIGURES MARVIN THE MARTIAN #71030 IN HAND FAST SHIPPING,£,12.18,9 Sep 2022
LEGO 60266 City Oceans: Ocean Exploration Ship (BRAND NEW & SEALED),£,169.99,9 Sep 2022
Lego 41699 Pet Adoption Cafe 292Pcs Age 6+,£,13.0,9 Sep 2022
🌻LEGO 40524 Sunflowers (191 pcs) Brand New Mother’s Day Birthday,£,30.46,9 Sep 2022
Lego Pirates and Treasure VIP Add On Pack - Unopened - LEGO 40515,£,4.8,9 Sep 2022
LEGO Hidden Side Newbury Juice Bar (40336),£,5.0,9 Sep 2022
Lego Star Wars Elite Praetorian Guard Battle Pack 75225 RETIRED BRAND NEW,£,16.55,9 Sep 2022
 LEGO Toy Story Stinky Pete Minfigure with Plain Torso,£,9.99,9 Sep 2022
LEGO City 60234. People Pack Funfair 14 minifigures. Brand New and Sealed,£,38.0,9 Sep 2022
New listingLEGO The Lord of the Rings: Uruk-Hai with Ballista Set 30211 (RETIRED SET),£,12.99,9 Sep 2022
LEGO City Police Helicopter Chase (60243) New and Sealed - Free Delivery!,£,18.99,9 Sep 2022
"LEGO Star Wars AT-ST 30495, new!",£,3.76,9 Sep 2022
LEGO CITY Rocket Launch Center (60351) 1010 Pieces - NASA Artemis new sealed,£,94.86,9 Sep 2022
NEW Lego Factory Set 10183 Hobby Trains -FACTORY SEALED 2007 Lego Train,£,330.74,9 Sep 2022
LEGO 70835 Rexs Rexplorer Set The Lego Movie Age 9+ Dinosaur Building Toy NIB,£,55.71,9 Sep 2022
LEGO 40410 Charles Dickens A Christmas Carol Limited Holiday Edition NEW in BOX,£,34.82,9 Sep 2022
LEGO CITY PICKUP & CARAVAN 60182 FEATURES 344 PIECES NISB,£,43.51,9 Sep 2022
New listingBrand New Unopened Boxed LEGO Super Heroes Infinity Gauntlet Marvel (76191) Lego,£,39.99,9 Sep 2022
LEGO Speed Champions 76911 007 Aston Martin DB5 James Bond Age 8+ 298pcs,£,15.0,9 Sep 2022
Lego Star Wars 10123 Cloud City 2003 Sealed New In Box Retired Boba Fett,£,6962.31,9 Sep 2022
New listingLego 21185 Minecraft. The Nether Bastion. New Sealed NISB FREE P&P✅,£,25.49,9 Sep 2022
LEGO Duplo Disney Junior Minnie's Birthday Party 10873 Building Toy,£,19.15,9 Sep 2022
Lego Creator 3 in 1 Lego Set 31100 for Age 6+ BNIB ,£,9.99,9 Sep 2022
"LEGO 76165 MARVEL IRON MAN HELMET - New, Sealed Set - Retired",£,80.0,9 Sep 2022
"LEGO BRICKHEADZ: Elsa (41617), Anna & Olaf (41618) NIB",£,43.51,9 Sep 2022
NEW SEALED LEGO Architecture 21047 Las Vegas AUTHENTIC,£,69.62,9 Sep 2022
LEGO Architecture Architecture Studio 21050,£,252.42,9 Sep 2022
Lego Marvel Spidey 10783 Spider-Man at Doc Ock’s Lab,£,14.99,9 Sep 2022
Mini Master Building MetalBeard The Lego Movie 2 Polybag 30528,£,8.7,9 Sep 2022
Lego 8066 Technic Off Roader New in Box 2011 Retired Damaged Box,£,17.4,9 Sep 2022
