Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"76402-1","Harry Potter","Chamber of Secrets",2022,"Hogwarts: Dumbledore's Office",6,654,79.99,79.99,99.99,89.99,5702017153438,,35.4,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,62.9600,,"01/06/2022","31/12/2024"
"76403-1","Harry Potter","Deathly Hallows",2022,"The Ministry of Magic",10,990,89.99,99.99,129.99,99.99,5702017153445,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,79.3100,,"01/06/2022","31/12/2025"
"76404-1","Harry Potter","Seasonal",2022,"Harry Potter Advent Calendar",,334,29.99,44.99,59.99,34.99,5702017152325,,,,,,"",0,0,0,,0,0,,,,,,,,,29.1200,,"",""
"76405-1","Harry Potter","General",2022,"Hogwarts Express - Collectors' Edition",2,5129,429.99,499.99,619.99,499.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,515.9200,,"",""
"76406-1","Harry Potter","Goblet of Fire",2022,"Hungarian Horntail Dragon",1,671,44.99,49.99,64.99,49.99,5702017189970,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,41.9400,,"01/06/2022","31/12/2024"
"76407-1","Harry Potter","Prisoner of Azkaban",2022,"The Shrieking Shack & Whomping Willow",7,777,79.99,89.99,119.99,89.99,5702017189987,,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,78.0900,,"01/06/2022","31/12/2024"
"76408-1","Harry Potter","Order of the Phoenix",2022,"12 Grimmauld Place",9,1083,114.99,119.99,149.99,129.99,5702017189994,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,92.8900,,"01/06/2022","31/12/2024"
"76830-1","Disney","Lightyear",2022,"Zyclops Chase",2,87,17.99,19.99,24.99,19.99,5702017152394,,19.1,14.1,4.6,,"",0,0,0,,0,0,,,,,,,,,16.8200,,"24/04/2022","31/12/2023"
"76831-1","Disney","Lightyear",2022,"Zurg Battle",2,261,29.99,34.99,44.99,34.99,5702017152400,,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,26.0800,,"24/04/2022","31/12/2023"
"76832-1","Disney","Lightyear",2022,"XL-15 Spaceship",3,497,44.99,49.99,64.99,49.99,5702017152417,,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,45.1300,31.7800,"24/04/2022","31/12/2023"
"76906-1","Speed Champions","Ferrari",2022,"1970 Ferrari 512 M",1,291,19.99,19.99,29.99,24.99,5702017119045,,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,18.2900,14.6400,"01/03/2022","31/12/2023"
"76907-1","Speed Champions","Lotus",2022,"Lotus Evija",1,247,19.99,19.99,29.99,24.99,5702017156712,,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,18.1800,14.5200,"01/03/2022","31/12/2023"
"76908-1","Speed Champions","Lamborghini",2022,"Lamborghini Countach",1,262,19.99,19.99,29.99,24.99,5702017156729,,26.2,14.1,7.2,,"",0,0,0,,0,0,,,,,,,,,19.6500,16.7000,"01/03/2022","31/12/2023"
"76909-1","Speed Champions","Mercedes",2022,"Mercedes-AMG F1 W12 E Performance & Mercedes-AMG Project One",2,564,39.99,34.99,44.99,44.99,5702017160825,,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,40.9000,31.3700,"01/03/2022","31/12/2023"
"76910-1","Speed Champions","Aston Martin",2022,"Aston Martin Valkyrie AMR Pro and Aston Martin Vantage GT3",2,592,39.99,44.99,59.99,44.99,5702017160849,,35.4,19.1,7,,"",0,0,0,,0,0,,,,,,,,,35.4900,28.4700,"01/03/2022","31/12/2023"
"76911-1","Speed Champions","Aston Martin",2022,"007 Aston Martin DB5",1,298,19.99,19.99,29.99,24.99,5702017231044,,26.2,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,20.2500,,"01/08/2022","31/12/2023"
"76912-1","Speed Champions","Dodge",2022,"Fast & Furious 1970 Dodge Charger R/T",1,345,19.99,19.99,29.99,24.99,5702017234410,,26.2,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,20.5200,,"01/08/2022","31/12/2023"
"76943-1","Jurassic World","Dominion",2022,"Pteranodon Chase",2,94,17.99,19.99,24.99,19.99,5702016913422,,26.2,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,14.1200,,"17/04/2022","31/12/2023"
"76944-1","Jurassic World","Dominion",2022,"T. rex Dinosaur Breakout",3,140,44.99,49.99,64.99,49.99,5702016913439,,38.2,26.2,5.7,,"",0,0,0,,0,0,,,,,,,,,42.0200,,"17/04/2022","31/12/2023"
"76945-1","Jurassic World","Dominion",2022,"Atrociraptor Dinosaur: Bike Chase",2,169,17.99,19.99,24.99,19.99,5702016913514,,26.2,14.1,6.1,,"",0,0,0,,0,0,,,,,,,,,16.6100,,"17/04/2022","31/12/2023"
"76946-1","Jurassic World","Dominion",2022,"Blue & Beta Velociraptor Capture",2,181,29.99,34.99,44.99,34.99,5702016913521,,26.2,19.1,6.1,,"",0,0,0,,0,0,,,,,,,,,25.3300,,"17/04/2022","31/12/2023"
"76947-1","Jurassic World","Dominion",2022,"Quetzalcoatlus Plane Ambush",3,306,44.99,44.99,59.99,49.99,5702016913538,,28.2,26.2,7.6,,"",0,0,0,,0,0,,,,,,,,,45.6100,,"17/04/2022","31/12/2023"
"76948-1","Jurassic World","Dominion",2022,"T. rex & Atrociraptor Dinosaur Breakout",4,466,89.99,99.99,129.99,99.99,5702016913545,,48,28.2,6.1,,"",0,0,0,,0,0,,,,,,,,,72.0500,,"17/04/2022","31/12/2023"
"76949-1","Jurassic World","Dominion",2022,"Giganotosaurus & Therizinosaurus Attack",6,810,119.99,139.99,179.99,139.99,5702016913552,,48,37.8,7.1,,"",0,0,0,,0,0,,,,,,,,,110.2300,,"17/04/2022","31/12/2023"
"76950-1","Jurassic World","Dominion",2022,"Triceratops Pickup Truck Ambush",4,210,44.99,44.99,59.99,49.99,5702016971668,,26.2,22.2,7.6,,"",0,0,0,,0,0,,,,,,,,,43.7000,,"17/04/2022","31/12/2023"
